2024-01-12 21:41:20,946 - INFO - [Restart 1] 740) Best value: -2.86e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:21,518 - INFO - [Restart 1] 744) Best value: -2.86e-04 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:22,038 - INFO - [Restart 1] 748) Best value: -2.86e-04 | TR length: 2.50e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:22,604 - INFO - [Restart 1] 752) Best value: -2.57e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:23,132 - INFO - [Restart 1] 756) Best value: -2.51e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:41:23,652 - INFO - [Restart 1] 760) Best value: -2.44e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:41:24,163 - INFO - [Restart 1] 764) Best value: -2.44e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:24,697 - INFO - [Restart 1] 768) Best value: -2.15e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:25,226 - INFO - [Restart 1] 772) Best value: -2.15e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:25,743 - INFO - [Restart 1] 776) Best value: -2.15e-04 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:26,227 - INFO - [Restart 1] 780) Best value: -2.15e-04 | TR length: 2.50e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:26,775 - INFO - [Restart 1] 784) Best value: -2.15e-04 | TR length: 2.50e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:41:27,260 - INFO - [Restart 1] 788) Best value: -2.15e-04 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:41:27,766 - INFO - [Restart 1] 792) Best value: -1.51e-04 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:28,289 - INFO - [Restart 1] 796) Best value: -1.02e-04 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 2/10
